organization,programme,economic_category,standard_object,appropriation,amount
Transport Canada,Transportation Innovation,other,Internal revenues,voted,-3561.84
Natural Resources Canada,Canadian Geodetic Survey: Spatially Enabling Canada,operating,Transportation and communications,statutory,-3573.44
National Film Board,Care and Custody,operating,"Utilities, materials and supplies",statutory,-3580.52
Natural Sciences and Engineering Research Council of Canada,Communications Services,other,Other subsidies and payments,voted,-3600.41
"Innovation, Science and Economic Development Canada",Intellectual Property,other,Internal revenues,statutory,-3612.08
Global Affairs Canada,Foreign Service Directives,other,External revenues,voted,-3616.0
Canadian Grain Commission,Grain Research,other,Other subsidies and payments,voted,-3657.89
Parks Canada,Communications Services,other,Other subsidies and payments,voted,-3971.37
Social Sciences and Humanities Research Council of Canada,Information Management Services,other,Other subsidies and payments,voted,-3971.95
Transport Canada,Aviation Safety Oversight,other,Internal revenues,voted,-3988.71
Invest in Canada Hub,Internal Services,other,Other subsidies and payments,voted,-4294.78
Canadian Nuclear Safety Commission,Nuclear Non-Proliferation Program,other,Other subsidies and payments,voted,-4314.15
National Defence,"Joint, Common and International Bases",other,Internal revenues,voted,-4406.4
Transport Canada,Transportation of Dangerous Goods Regulatory Framework,other,Other subsidies and payments,voted,-4465.11
Global Affairs Canada,Legal Services,other,Other subsidies and payments,voted,-4528.1
National Research Council Canada,Management and Oversight Services,capital,Acquisition of machinery and equipment,statutory,-4637.9
National Research Council Canada,Information Management Services,operating,Transportation and communications,statutory,-4779.38
"Innovation, Science and Economic Development Canada",Marketplace Protection and Promotion,other,Internal revenues,voted,-5000.0
Transport Canada,Management and Oversight Services,other,External revenues,voted,-5289.37
Natural Sciences and Engineering Research Council of Canada,Human Resources Management Services,other,Other subsidies and payments,voted,-5400.61
Natural Sciences and Engineering Research Council of Canada,Management and Oversight Services,other,Other subsidies and payments,voted,-5400.61
Environment and Climate Change Canada,Funding Health Research and Training,other,External revenues,voted,-5742.0
Public Services and Procurement Canada,Materiel Management Services,operating,Professional and special services,voted,-5794.6
Public Services and Procurement Canada,Information Technology Services,other,External revenues,voted,-6000.0
Office of the Superintendent of Financial Institutions Canada,Regulatory Approvals and Legislative Precedents,other,Other subsidies and payments,statutory,-6100.03
Department of Finance Canada,Information Technology Services,other,Other subsidies and payments,voted,-6192.62
Natural Resources Canada,Information Technology Services,other,Internal revenues,voted,-6260.0
Canadian Nuclear Safety Commission,Nuclear Fuel Cycle Program,other,Other subsidies and payments,voted,-6338.47
National Film Board,Internal Services,operating,Repair and maintenance,statutory,-6363.0
Global Affairs Canada,International Security Policy and Diplomacy,other,Other subsidies and payments,voted,-6545.27
Office of the Superintendent of Financial Institutions Canada,Actuarial Valuation and Advice,other,Other subsidies and payments,statutory,-6826.84
Crown-Indigenous Relations and Northern Affairs Canada,Northern and Arctic Governance and Partnerships,other,Other subsidies and payments,voted,-6892.71
Social Sciences and Humanities Research Council of Canada,Research Training and Talent Development,other,Other subsidies and payments,voted,-6905.93
"Innovation, Science and Economic Development Canada",Acquisition Management Services,capital,Acquisition of machinery and equipment,voted,-7224.64
Parks Canada,Materiel Management Services,other,Other subsidies and payments,voted,-7304.61
National Defence,Indigenous Affairs,other,Other subsidies and payments,voted,-7387.47
National Film Board,Care and Custody,operating,Rentals,statutory,-7978.84
Public Service Commission of Canada,Internal Services,other,Internal revenues,voted,-8050.0
Social Sciences and Humanities Research Council of Canada,Real Property Management Services,other,Other subsidies and payments,voted,-8065.92
Correctional Service Canada,Independent Oversight of Federal Corrections,other,Other subsidies and payments,voted,-8198.0
Treasury Board of Canada Secretariat,Real Property Management Services,other,Other subsidies and payments,voted,-8357.3
Public Safety Canada,Acquisition Management Services,other,External revenues,voted,-8504.0
Shared Services Canada,Human Resources Management Services,operating,"Utilities, materials and supplies",voted,-8573.63
Natural Resources Canada,Green Mining Innovation,other,Internal revenues,voted,-8722.0
Social Sciences and Humanities Research Council of Canada,Research Partnerships,other,Other subsidies and payments,voted,-8792.06
Natural Sciences and Engineering Research Council of Canada,Materiel Management Services,personnel,Personnel,voted,-9135.65
National Film Board,Promotion of works and National Film Board outreach,operating,"Utilities, materials and supplies",statutory,-9742.49
"Innovation, Science and Economic Development Canada",Acquisition Management Services,other,Other subsidies and payments,voted,-9743.12
Agriculture and Agri-Food Canada,Proactive Compliance,other,Other subsidies and payments,voted,-10017.93
Canadian Grain Commission,Internal Services,other,Internal revenues,statutory,-10188.17
Natural Resources Canada,Real Property Management Services,other,Internal revenues,voted,-10191.9
Transport Canada,Acquisition Management Services,other,Other subsidies and payments,voted,-10225.6
National Research Council Canada,Biologics Manufacturing Centre,other,Other subsidies and payments,statutory,-10230.46
National Film Board,"Preservation, conservation and digitization of works",operating,"Utilities, materials and supplies",statutory,-10232.98
National Research Council Canada,Financial Management Services,operating,Transportation and communications,statutory,-10788.36
Environment and Climate Change Canada,Electoral Administration,other,External revenues,voted,-11273.62
Canadian Heritage,"National Celebrations, Commemorations and Symbols",other,Internal revenues,voted,-11738.48
National Defence,"Ready Health, Military Police and Support Forces",other,External revenues,voted,-12027.0
Employment and Social Development Canada,Information Management Services,other,Other subsidies and payments,statutory,-12088.81
Fisheries and Oceans Canada,Aquatic Invasive Species,other,Other subsidies and payments,statutory,-12402.5
Canadian Nuclear Safety Commission,Nuclear Substances and Prescribed Equipment Program,other,Other subsidies and payments,voted,-12668.37
Environment and Climate Change Canada,Management and Oversight Services,other,Internal revenues,voted,-13131.79
Employment and Social Development Canada,Engagement,other,Other subsidies and payments,statutory,-13599.91
National Research Council Canada,Economic development in the Prairies,other,Other subsidies and payments,statutory,-13867.22
Social Sciences and Humanities Research Council of Canada,Management and Oversight Services,other,Other subsidies and payments,voted,-13926.12
Transport Canada,Navigation Protection Program,other,Internal revenues,voted,-13970.0
